"Genotype","Plot.ID","Plant","Side","num_whorls","w1","w2","w3","w4","root_angle_deg","stalk_width_cm","single_root_width_cm","spread_width_cm","root_heightonstalk_cm"
"6M502","1293","09","A",1,9,0,0,0,56.969912756264,2.60652864375166,0.380221689315214,11.5909411137756,2.8763655742073
"6M502","1338","13","A",2,9,1,0,0,65.5458685486298,1.4019446585984,1.337745354492,2.13412510258665,0.166535159809093
"6M502","1293","14","A",2,7,11,0,0,37.0092534310293,1.95182369047619,0.378883333333333,10.1917046428571,5.45797619047619
"6M502","1338","12","A",2,5,6,0,0,47.112399274939,2.29737696246965,0.492360493352247,7.42708628855817,2.3816507585411
"6M502","1293","01","A",1,10,0,0,0,47.9760234918607,3.48678191885214,0.353141130592683,12.0497265799422,3.88451463102432
"6M502","1293","06","A",2,9,7,0,0,37.1345298381031,2.09912355743192,0.237290541197384,8.9952586554085,4.41811212798756
"6M502","1293","03","A",1,5,0,0,0,58.3276048428451,2.08295306230276,0.478791215068043,6.79814248382813,1.4508275143155
"6M502","1338","05","A",2,9,1,0,0,52.7985621894988,2.07023109829815,0.549225099972101,6.94212731330791,1.84541523295824
"6M502","1338","03","A",2,7,1,0,0,53.9887854496193,1.82986035572542,0.486792885491695,6.8329472291636,1.81081875643099
"6M502","1293","11","A",2,6,8,0,0,30.5692862684803,2.06435568013704,0.425327545485219,7.28886189623401,4.37572996963326
"6M502","1338","08","A",2,7,9,0,0,45.2881780289347,1.93775813537474,0.434325099308131,8.61968274011523,3.30755267934654
"6M502","1293","04","A",1,5,0,0,0,55.173420144517,1.52112414584269,0.287230684822186,3.72552336774901,0.76647214324904
"6M502","1293","02","A",1,11,0,0,0,38.1723210905085,2.81621158631865,0.416595867816425,9.89055037907286,4.4834770530702
"6M502","1293","05","A",2,4,8,0,0,35.9248311806285,1.84279073642119,0.305805244405711,6.7420550842027,3.38553815394868
"6M502","1338","02","A",2,10,3,0,0,33.1387714025167,2.0674587307934,0.598184726109556,8.30610612897698,4.76966356314617
"6M502","1338","06","A",2,5,9,0,0,57.0406904899737,2.0573684079602,0.466456467661692,8.97602512437811,2.24303482587065
"6M502","1338","01","A",2,9,4,0,0,54.7302883749488,2.426175071937,0.544005452067242,8.85022474632743,2.23110707254278
"6M502","1338","11","A",2,7,7,0,0,48.4004323156686,2.20578027843504,0.390650965718373,9.57853106256534,3.26707202993452
"6M502","1338","14","A",1,5,0,0,0,62.435999741471,1.98200210526316,0.448376842105263,7.06200210526316,1.30342105263158
"6M502","1338","09","A",2,8,8,0,0,39.9528069832734,1.68440888645871,1.59413388112189,2.67372401343755,0.566002404377315
"6M502","1293","08","A",2,9,10,0,0,42.4708818229125,2.55413391898728,0.13388049204802,10.1851966094585,4.13675677676467
"6M502","1293","10","A",1,7,0,0,0,41.4733795832233,2.16146327090112,0.494834353941941,6.40792103307797,2.34287324809757
"6M502","1293","07","A",2,8,9,0,0,38.6844878113008,2.2611112987013,0.366221818181818,8.59461779220779,3.96668831168831
"6M502","1338","07","A",2,9,11,0,0,49.7938011249073,1.95523272803173,0.450669745355876,11.1667752035066,3.89336777290753
"6M502","1293","13","A",2,5,10,0,0,32.5397100990266,2.51679768908516,0.405176116513664,9.37377202401658,5.3588118751985
"6M502","1338","10","A",2,9,10,0,0,34.4812444872891,1.92311588444877,0.381035808576628,6.44801784020711,3.27160177376772
"6M502","1338","04","A",3,8,7,1,0,51.081181733627,1.73440529601092,0.558264898078611,7.02968472642154,2.13669169999025
"A632","1392","01","A",1,6,0,0,0,26.1056990157943,1.74071525116184,0.329204391860616,7.57233590697846,5.9491936529097
"A632","1282","07","A",2,6,10,0,0,24.6889404823885,2.06116538131962,0.432825383223841,5.80961820432258,4.0658621346282
"A632","1282","04","A",2,6,8,0,0,32.3125882518976,1.78453287945102,0.413177176203599,6.45087534446426,3.70562489868698
"A632","1282","01","A",1,9,0,0,0,30.071914671046,2.22494558178637,0.498148417441094,6.72654745404558,3.95332984935584
"A632","1321","02","A",2,8,9,0,0,41.8947890593149,1.90498331274801,0.46363860930807,10.8493503797335,4.9728010932121
"A632","1282","03","A",2,6,9,0,0,34.2215497115263,1.8892070613479,0.565077538281479,6.62708865697845,3.46825319418707
"A632","1395","05","A",1,6,0,0,0,26.5377075521904,1.95018837209302,0.581778139534884,10.9583279069767,8.99337209302326
"A632","1321","07","A",1,6,0,0,0,44.7490864608926,1.52887165884513,0.231766578249337,4.79391960824322,1.64548051418078
"A632","1392","06","A",1,5,0,0,0,34.7344174038804,1.07902116273413,0.284830941376794,3.45776112867915,1.72999270250547
"A632","1321","01","A",1,10,0,0,0,47.1737284537798,2.13933048780488,0.464634146341463,6.78567195121951,2.15280487804878
"A632","1392","07","A",1,4,0,0,0,40.2498693528935,2.34174100449775,0.482596826586707,13.4090198650675,6.40632808595702
