Genotype,Year,Location,Experiment,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,raw_data_file,Additional_Notes,line_raw_slope_N.m,SMURF_Name,X
6M502,2021,Newark,55&Friends,Maize,763-6,763,6,A,JR,5/20/21,9/27/21,763-6_09_27_2021_15_40_40.xls,NA,2371.21299,,NA
6M502,2021,Newark,55&Friends,Maize,1107-3,1107,3,A,JR,5/20/21,9/28/21,1107-3_09_28_2021_13_35_04.xls,NA,3134.17306,,NA
6M502,2020,Newark,55&Friends,Maize,213-2,213,2,A,jr,6/1/20,10/7/20,213-2_10_07_2020_14_58_08.xls,NA,2133.44634,,NA
6M502,2020,Newark,55&Friends,Maize,213-3,213,3,A,jr,6/1/20,10/7/20,213-3_10_07_2020_15_00_21.xls,NA,2151.95848,,NA
6M502,2021,Newark,55&Friends,Maize,1114-7,1114,7,A,JR,5/20/21,9/28/21,1114-7_09_28_2021_13_38_01.xls,NA,2067.96537,,NA
6M502,2021,Newark,55&Friends,Maize,1107-2,1107,2,A,JR,5/20/21,9/28/21,1107-2_09_28_2021_13_35_51.xls,NA,2376.832,,NA
6M502,2021,Newark,55&Friends,Maize,1114-3,1114,3,A,JR,5/20/21,9/28/21,1114-3_09_28_2021_13_37_06.xls,NA,3465.32276,,NA
6M502,2021,Newark,55&Friends,Maize,763-2,763,2,A,JR,5/20/21,9/27/21,763-2_09_27_2021_15_39_23.xls,NA,2280.48123,,NA
6M502,2021,Newark,55&Friends,Maize,762-3,762,3,A,JR,5/20/21,9/27/21,762-3_09_27_2021_15_37_26.xls,NA,2769.66741,,NA
6M502,2020,Newark,55&Friends,Maize,213-1,213,1,A,jr,6/1/20,10/7/20,213-1_10_07_2020_14_56_25.xls,NA,2895.53713,,NA
6M502,2021,Newark,55&Friends,Maize,762-4,762,4,A,JR,5/20/21,9/27/21,762-4_09_27_2021_15_38_17.xls,NA,2433.47937,,NA
A632,2021,Newark,55&Friends,Maize,1094-5,1094,5,A,JR,5/20/21,9/28/21,1094-5_09_28_2021_14_26_49.xls,NA,4004.63847,,NA
A632,2021,Newark,55&Friends,Maize,647-7,647,7,A,JR,5/20/21,9/27/21,647-7_09_27_2021_15_10_41.xls,NA,4140.53791,,NA
A632,2021,Newark,55&Friends,Maize,1094-3,1094,3,A,JR,5/20/21,9/28/21,1094-3_09_28_2021_14_25_52.xls,NA,3384.63117,,NA
A632,2021,Newark,55&Friends,Maize,1127-5,1127,5,A,JR,5/20/21,9/28/21,1127-5_09_28_2021_14_28_54.xls,NA,4302.82689,,NA
A632,2021,Newark,55&Friends,Maize,646-2,646,2,A,JR,5/20/21,9/27/21,646-2_09_27_2021_15_07_35.xls,NA,2202.665,,NA
A632,2021,Newark,55&Friends,Maize,646-4,646,4,A,JR,5/20/21,9/27/21,646-4_09_27_2021_15_08_38.xls,NA,2032.85871,,NA
A632,2021,Newark,55&Friends,Maize,1127-4,1127,4,A,JR,5/20/21,9/28/21,1127-4_09_28_2021_14_27_57.xls,NA,4947.5269,,NA
A632,2021,Newark,55&Friends,Maize,647-6,647,6,A,JR,5/20/21,9/27/21,647-6_09_27_2021_15_09_46.xls,NA,4273.8243,,NA
B104,2020,Newark,55&Friends,Maize,212-2,212,2,A,jr,6/1/20,10/7/20,212-2_10_07_2020_14_51_22.xls,NA,1365.26713,,NA
B104,2021,Newark,55&Friends,Maize,1006-8,1006,8,A,JR,5/20/21,9/28/21,1006-8_09_28_2021_12_18_11.xls,NA,2733.77145,,NA
B104,2020,Newark,55&Friends,Maize,212-1,212,1,A,jr,6/1/20,10/7/20,212-1_10_07_2020_14_48_27.xls,NA,4593.2544,,NA
B104,2020,Newark,55&Friends,Maize,212-3,212,3,A,jr,6/1/20,10/7/20,212-3_10_07_2020_14_53_50.xls,NA,4410.84685,,NA
B104,2021,Newark,55&Friends,Maize,983-2,983,2,A,JR,5/20/21,9/28/21,983-2_09_28_2021_12_17_00.xls,NA,4244.86,,NA
B104,2021,Newark,55&Friends,Maize,983-3,983,3,A,JR,5/20/21,9/28/21,983-3_09_28_2021_12_15_56.xls,NA,6177.34662,,NA
B73,2021,Newark,55&Friends,Maize,742-6,742,6,A,JR,5/20/21,9/27/21,742-6_09_27_2021_16_54_32.xls,NA,2604.58979,,NA
B73,2021,Newark,55&Friends,Maize,654-3,654,3,A,JR,5/20/21,9/27/21,654-3_09_27_2021_14_39_16.xls,NA,4125.22297,,NA
B73,2021,Newark,55&Friends,Maize,654-4,654,4,A,JR,5/20/21,9/27/21,654-4_09_27_2021_14_38_13.xls,NA,3634.70158,,NA
