Year,Location,Experiment,Genotype,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,raw_data_file,Additional_Notes,line_raw_slope_N.m,SMURF_Name
2025,Genetics Farm,Root Hairless,wt,Maize,316_plant1,316,1,NA,JR,6/9/25,9/1/25,316-plant1-wt_2025-09-01_10-42-54.xls,NA,7669.83635,
2025,Genetics Farm,Root Hairless,wt,Maize,316_plant2,316,2,NA,JR,6/9/25,9/1/25,316-plant2-wt_2025-09-01_10-43-48.xls,NA,6944.84019,
2025,Genetics Farm,Root Hairless,wt,Maize,316_plant3,316,3,NA,JR,6/9/25,9/1/25,316-plant3-wt_2025-09-01_10-44-50.xls,NA,8848.3325,
2025,Genetics Farm,Root Hairless,wt,Maize,316_plant4,316,4,NA,JR,6/9/25,9/1/25,316-plant4-wt_2025-09-01_10-45-44.xls,NA,9774.8333,
2025,Genetics Farm,Root Hairless,mt,Maize,316_plant5,316,5,NA,JR,6/9/25,9/1/25,316-plant5-mt_2025-09-01_10-47-07.xls,NA,3344.7806,
2025,Genetics Farm,Root Hairless,wt,Maize,316_plant6,316,6,NA,JR,6/9/25,9/1/25,316-plant6-wt_2025-09-01_10-48-04.xls,NA,9370.6941,
2025,Genetics Farm,Root Hairless,wt,Maize,316_plant7,316,7,NA,JR,6/9/25,9/1/25,316-plant7-wt_2025-09-01_10-49-13.xls,NA,9770.9477,
2025,Genetics Farm,Root Hairless,wt,Maize,316_plant8,316,8,NA,JR,6/9/25,9/1/25,316-plant8-wt_2025-09-01_10-50-09.xls,NA,7795.45562,
2025,Genetics Farm,Root Hairless,wt,Maize,317_plant1,317,1,NA,JR,6/9/25,9/1/25,317-plant1-wt_2025-09-01_10-21-25.xls,NA,9846.72785,
2025,Genetics Farm,Root Hairless,wt,Maize,317_plant2,317,2,NA,JR,6/9/25,9/1/25,317-plant2-wt_2025-09-01_10-22-39.xls,NA,11184.4668,
2025,Genetics Farm,Root Hairless,wt,Maize,317_plant3,317,3,NA,JR,6/9/25,9/1/25,317-plant3-wt_2025-09-01_10-23-56.xls,NA,9855.53919,
2025,Genetics Farm,Root Hairless,mt,Maize,317_plant4,317,4,NA,JR,6/9/25,9/1/25,317-plant4-mt_2025-09-01_10-25-14.xls,NA,3250.795,
2025,Genetics Farm,Root Hairless,mt,Maize,317_plant5,317,5,NA,JR,6/9/25,9/1/25,317-plant5-mt_2025-09-01_10-26-11.xls,NA,4793.20708,
2025,Genetics Farm,Root Hairless,mt,Maize,317_plant6,317,6,NA,JR,6/9/25,9/1/25,317-plant6-mt_2025-09-01_10-27-30.xls,NA,3141.40578,
2025,Genetics Farm,Root Hairless,wt,Maize,317_plant7,317,7,NA,JR,6/9/25,9/1/25,317-plant7-wt_2025-09-01_10-28-39.xls,NA,8850.582,
2025,Genetics Farm,Root Hairless,wt,Maize,317_plant8,317,8,NA,JR,6/9/25,9/1/25,317-plant8-wt_2025-09-01_10-30-06.xls,NA,8782.5101,
2025,Genetics Farm,Root Hairless,wt,Maize,322_plant1,322,1,NA,JR,6/9/25,9/1/25,322-plant1-wt_2025-09-01_10-31-29.xls,NA,11265.4692,
2025,Genetics Farm,Root Hairless,wt,Maize,322_plant2,322,2,NA,JR,6/9/25,9/1/25,322-plant2-wt_2025-09-01_10-32-34.xls,NA,9727.74358,
2025,Genetics Farm,Root Hairless,wt,Maize,322_plant3,322,3,NA,JR,6/9/25,9/1/25,322-plant3-wt_2025-09-01_10-33-37.xls,NA,8292.09656,
2025,Genetics Farm,Root Hairless,mt,Maize,322_plant4,322,4,NA,JR,6/9/25,9/1/25,322-plant4-mt_2025-09-01_10-34-49.xls,NA,905.730989,
2025,Genetics Farm,Root Hairless,mt,Maize,322_plant5,322,5,NA,JR,6/9/25,9/1/25,322-plant5-mt_2025-09-01_10-35-47.xls,NA,3652.36708,
2025,Genetics Farm,Root Hairless,wt,Maize,322_plant6,322,6,NA,JR,6/9/25,9/1/25,322-plant6-wt_2025-09-01_10-36-46.xls,NA,8523.07111,
2025,Genetics Farm,Root Hairless,wt,Maize,322_plant7,322,7,NA,JR,6/9/25,9/1/25,322-plant7-wt_2025-09-01_10-37-50.xls,NA,7562.38225,
2025,Genetics Farm,Root Hairless,wt,Maize,322_plant8,322,8,NA,JR,6/9/25,9/1/25,322-plant8-wt_2025-09-01_10-39-01.xls,NA,8358.30253,
2025,Genetics Farm,Root Hairless,wt,Maize,323_plant1,323,1,NA,JR,6/9/25,9/1/25,323-plant1-wt_2025-09-01_10-51-26.xls,NA,10067.7202,
2025,Genetics Farm,Root Hairless,wt,Maize,323_plant2,323,2,NA,JR,6/9/25,9/1/25,323-plant2-wt_2025-09-01_10-52-37.xls,NA,8557.1813,
2025,Genetics Farm,Root Hairless,wt,Maize,323_plant3,323,3,NA,JR,6/9/25,9/1/25,323-plant3-wt_2025-09-01_10-54-05.xls,NA,11779.3395,
2025,Genetics Farm,Root Hairless,mt,Maize,323_plant4,323,4,NA,JR,6/9/25,9/1/25,323-plant4-mt_2025-09-01_10-55-23.xls,NA,5279.22176,
2025,Genetics Farm,Root Hairless,mt,Maize,323_plant5,323,5,NA,JR,6/9/25,9/1/25,323-plant5-mt_2025-09-01_10-56-43.xls,NA,3315.0091,
2025,Genetics Farm,Root Hairless,wt,Maize,323_plant6,323,6,NA,JR,6/9/25,9/1/25,323-plant6-wt_2025-09-01_10-58-24.xls,NA,8137.1666,
2025,Genetics Farm,Root Hairless,wt,Maize,323_plant7,323,7,NA,JR,6/9/25,9/1/25,323-plant7-wt_2025-09-01_10-59-45.xls,NA,8026.8959,
2025,Genetics Farm,Root Hairless,wt,Maize,323_plant8,323,8,NA,JR,6/9/25,9/1/25,323-plant8-wt_2025-09-01_11-01-11.xls,NA,7932.21809,
